host_plant,n
milkweed,2
white sage - S. apiana,2
Astragalus pycnostachyus var. lanosissimus,1
Salvia 'Starlight' (s. apiana x mellifera) and Lavandula,1
Salvia 'Starlight' (s. apiana x s. mellifera hybrid),1
Salvia leucophylla,1
Wild Radish,1
lavandula,1
